[2026-09-02T09:07:12.1075236Z] Baseline sen1 state=Running, uptime=15866s, osFile=71.754GiB, dvdAttached=False.
[2026-09-02T09:07:13.5618953Z] Baseline sen2 state=Running, uptime=2192s, osFile=23.66GiB, dvdAttached=False.
[2026-09-02T09:07:15.0170701Z] Baseline sen3 state=Running, uptime=1547s, osFile=58.879GiB, dvdAttached=False.
[2026-09-02T09:07:24.4071171Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:07:57.3031668Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:08:21.9588108Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:08:46.5137745Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:09:13.6118339Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:09:38.2238620Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:10:02.8160751Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:10:30.2286798Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:10:54.8207166Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:11:19.3366844Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:11:46.2929665Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:12:10.8692628Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:12:35.4348850Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:13:02.3755328Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:13:26.9069383Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:13:51.4629759Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:14:23.4948178Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:14:48.0597370Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:15:12.6154590Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:15:39.9373125Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:16:04.5183580Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:16:29.0876224Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:16:56.1292169Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:17:20.6609604Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:17:45.2573710Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:18:12.1522699Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:18:36.6781605Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:19:01.2190669Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:19:28.0842507Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:19:52.6003461Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:20:17.1333878Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:20:49.2064331Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:21:13.7329077Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:21:38.2512659Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:22:05.1156581Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:22:29.6823586Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:22:54.2150752Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:23:21.3321668Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:23:45.8896489Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:24:10.4088418Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:24:37.7478505Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:25:02.2264588Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:25:26.7981621Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:25:53.7789150Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:26:18.3505205Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:26:42.9056533Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:27:15.0142617Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:27:39.5300458Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:28:04.0496315Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:28:31.0068034Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:28:55.6046280Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:29:20.1474479Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:29:47.4105816Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:30:11.9913202Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
[2026-09-02T09:30:36.5751850Z] Waiting for three installed nodes and VIP readiness; stable=0/2.
