[2026-09-02T02:19:52.4190539Z] Baseline sen1 state=Running uptimeSeconds=5114.
[2026-09-02T02:19:52.6214948Z] Baseline sen2 state=Running uptimeSeconds=5101.
[2026-09-02T02:19:52.7989873Z] Baseline sen3 state=Running uptimeSeconds=5088.
[2026-09-02T02:20:04.8927061Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:20:33.8807672Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:20:55.3847458Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:21:16.8934044Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:21:38.3920238Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:22:06.3834662Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:22:27.8758416Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:22:49.3923094Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:23:10.8829321Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:23:39.3921294Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:24:00.8883114Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:24:22.3837099Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:24:44.3775299Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:25:12.8951727Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:25:34.3899626Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:25:55.8904089Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
[2026-09-02T02:26:17.3992916Z] Waiting for installed nodes and cluster services; stablePollCount=0/3.
